"band","year","survived","beak_pc1","beak_length","beak_width","beak_depth"
"SH331_L",2008,0,-0.3371,11.83,9.29,11
"203",2009,1,4.5827,13.55,12.78,15.44
"JP1022",2009,0,0.2009,12.15,9.49,11.55
"JP1076",2009,0,2.3577,12.61,11.22,13.62
"JP1395/P789",2009,1,-0.9395,11.03,9.19,10.8
"JP1396",2009,1,-0.827,10.8,9.61,10.81
"JP1431",2009,0,-1.4729,10.38,9.03,10.64
"JP1434",2009,0,-0.0859,11.82,9.97,10.7
"JP1438",2009,0,-1.4151,11.54,8.39,10.09
"JP1504/P568",2009,0,0.1182,11.65,10.13,11.18
"JP1714",2009,0,-1.3279,10.8,9.07,10.37
"JP1726",2009,1,-0.2587,11.54,9.58,11.18
"JP1729",2009,1,-0.0444,11.84,9.9,10.86
"JP1749",2009,0,1.5986,13.06,10.52,12.21
"JP2320",2009,0,-1.3607,9.95,8.96,11.55
"JP2340",2009,1,-1.2361,11.03,9.268431,10.02
"JP2383",2009,1,-1.2706,10.57,9.24,10.58
"JP2397",2009,0,-0.4662,11.63,9.41,10.81
"JP2416",2009,0,-0.8765,11.1,9.33,10.67
"JP2417",2009,0,-1.6327,10.55,8.94,10.17
"JP2441",2009,0,-0.7205,11.2,9.25,11
"JP3022",2009,1,-0.5006,11.52,9.46,10.81
"JP3042",2009,0,0.1421,10.6,10.32,12.36
"JP3045",2009,0,0.2225,11.81,9.7,11.77
"JP3048",2009,0,3.4676,13.65,12.16,13.57
"SH031_L",2009,0,2.3687,12.75,11.72,12.81
"SH057_L",2009,0,0.3119,12.04,10.04,11.23
"SH059_L",2009,1,2.8351,13.6,11.24,13.39
"SH074_L",2009,0,-0.9727,10.88,9.52,10.49
"SH078_L",2009,0,-1.2603,10.95,9.13,10.25
"SH106_L",2009,0,-0.4137,11.76,9.41,10.76
"SH111_L",2009,0,-1.2109,10.51,9.42,10.56
"SH1402_L",2009,0,-0.5964,11.72,9.13,10.76
"SH1403_L",2009,0,-2.1067,10.69,8.69,9.23
"SH157_S",2009,0,-3.4052,10,6.9,9.5
"SH172_L",2009,0,-1.4379,11.03,8.8,10.17
"SH255_L",2009,1,-1.0622,10.42,9.74,10.6
"SH277_L",2009,1,-0.4869,11.26,9.76,10.79
"SH362_L",2009,0,-0.5559,11.57,9.29,10.84
"SH363_L",2009,1,2.5546,13.21,11.27,13.22
"SH364_L",2009,0,0.2318,11.51,10.04,11.74
"SH366_L",2009,0,-0.4081,11,9.76,11.31
"SH367_L",2009,0,3.355,13.32,12.47,13.34
"SH368_L",2009,1,0.2376,11.74,9.95,11.57
"SH369_L",2009,0,0.9093,12.11,10.15,12.36
"SH370_L",2009,0,-0.6109,10.89,9.63,11.16
"SH371_L",2009,0,1.0686,11.73,10.58,12.66
"SH372_L",2009,0,1.8242,12.15,11.13,13.12
"SH373_L",2009,0,-0.709,10.87,9.67,10.91
"SH374_L",2009,0,-1.0614,10.69,9.21,10.94
"SH375_L",2009,0,-0.2573,11.09,9.52,11.85
"SH376_L",2009,0,-1.5195,11.05,8.89,9.84
"SH377_L",2009,0,2.0465,12.31,10.83,13.81
"SH378_L",2009,0,-0.4895,11.92,9.27,10.56
"SH379_L",2009,0,-0.9746,11.15,8.97,10.85
"SH381_L",2009,0,-1.6581,10.49,8.81,10.36
"SH384_L",2009,1,-0.5281,11.58,9.39,10.76
"SH385_L",2009,0,-0.287,11.73,9.11,11.48
"SH386_L",2009,1,-0.0795,11.38,10.2,10.99
"SH387_L",2009,0,-1.1208,11.24,8.8,10.62
"SH408_L",2009,1,2.8463,13.6,11.62,12.92
"SH409_L",2009,0,-0.4947,11.54,9.32,10.98
"SH410_L",2009,0,4.6361,14.39,12.2,15.22
"SH411_L",2009,1,-1.1494,11.04,9.28,10.19
"SH412_L",2009,0,-0.8735,11.45,9.13,10.48
"SH414_L",2009,0,2.4874,12.84,11.37,13.42
"SH415_L",2009,0,-0.3563,11.05,9.77,11.35
"SH416_L",2009,0,-0.7381,11.74,9.13,10.41
"SH417_L",2009,1,0.2144,11.84,9.51,11.96
"SH418_L",2009,1,-2.1388,10.97,8.56,8.96
"SH419_L",2009,0,0.4799,12.18,9.78,11.77
"SH420_L",2009,0,-1.3356,11.13,9.04,9.96
"SH421_L",2009,0,-0.2717,11.29,9.9,11.06
"SH422_L",2009,0,-1.5376,10.61,8.64,10.7
"SH435_L",2009,0,-1.5547,11.16,9.04,9.42
"SH436_L",2009,0,0.1738,12.06,9.87,11.11
"SH437_L",2009,0,-1.2061,10.53,9.14,10.91
"SH438_L",2009,1,-1.4112,10.67,9.2,10.18
"SH439_L",2009,0,-0.0705,11.42,10.03,11.18
"SH440_L",2009,0,0.9637,11.85,10.92,11.82
"SH441_L",2009,0,2.6121,13.54,11.5,12.62
"SH442_L",2009,0,0.65,11.65,10.18,12.33
"SH443_L",2009,1,-1.1385,10.94,8.74,11.05
"SH444_L",2009,0,1.947,12.06,10.73,14.04
"SH445_L",2009,0,-1.3894,10.65,8.99,10.53
"SH446_L",2009,0,-1.7902,10.68,8.94,9.64
"SH447_L",2009,0,0.9486,12.46,9.73,12.54
"SH448_L",2009,0,-2.2665,10.27,8.67,9.44
"SH449_L",2009,0,-0.5046,11.13,9.43,11.35
"SH450_L",2009,1,0.1591,11.51,10.02,11.6
"SH451_L",2009,0,-1.1145,10.96,9.13,10.57
"SH452_L",2009,0,-0.3907,11.58,9.37,11.1
"SH453_L",2009,0,-1.693,11.19,8.76,9.43
"SH454_L",2009,0,-0.1443,11.71,9.61,11.18
"SH455_L",2009,0,0.3376,12.15,9.53,11.81
"SH456_L",2009,0,-0.6078,10.95,9.56,11.18
"SH457_L",2009,0,-0.7956,11.58,9.32,10.24
"SH458_L",2009,0,-1.6073,10.51,9.27,9.85
"SH459_L",2009,0,-0.1581,11.49,9.63,11.41
"SH460_L",2009,0,0.5553,11.55,10.49,11.84
"SH461_L",2009,0,-0.693,10.36,10.01,11.17
"SH462_L",2009,0,-0.4987,11.26,9.31,11.35
"SH463_L",2009,0,-2.0343,10.06,8.95,9.88
"SH464_L",2009,0,1.0971,12.09,10.2,12.75
"SH465_L",2009,0,0.0574,11.95,9.83,11.04
"SH466_L",2009,0,-0.8314,11.21,9.36,10.59
"SH470_L",2009,0,-0.5786,11.37,9.19,11.18
"SH471_L",2009,0,1.3845,12.67,10.26,12.57
"SH472_L",2009,1,3.4837,14.1,11.3,14.14
"SH474_L",2009,0,-1.1514,10.36,9,11.44
"SH482_L",2009,0,1.4387,11.87,10.72,13.14
"SH485_L",2009,0,-1.3166,10.94,8.98,10.33
"SH487_L",2009,0,2.5539,13.38,11.06,13.27
"SH495_L",2009,0,-0.6484,11.05,9.45,11.1
"SH496_L",2009,1,-1.2356,11.05,9.05,10.28
"SH500_L",2009,0,-1.6622,10.39,9.11,10.09
"SH501_L",2009,0,-0.649,12.04,9.2,10.13
"SH502_L",2009,0,1.8967,12.68,11.04,12.71
"SH503_L",2009,0,-1.9524,10.03,8.61,10.55
"SH504_L",2009,0,-1.1854,10.73,9.06,10.8
"SH505_L",2009,0,-0.3377,11.64,9.51,10.96
"SH515_L",2009,0,0.5426,11.85,10.19,11.81
"SH516_L",2009,0,-1.8649,10.75,8.67,9.73
"SH517_L",2009,0,-1.6729,10.52,9.03,10
"SH518_L",2009,0,-0.9398,11.14,9.34,10.46
"SH519_L",2009,0,2.2652,13.01,11.37,12.69
"SH520_L",2009,1,1.1739,12.6,10.36,12.05
"SH521_L",2009,0,1.6304,12.94,10.88,11.97
"SH522_L",2009,0,-1.7518,10.84,8.87,9.61
"SH523_L",2009,0,0.4269,12.21,9.91,11.44
"SH527_L",2009,0,-1.7897,10.8,8.56,9.98
"SH528_L",2009,0,2.6845,13.47,11.49,12.89
"SH534_L",2009,0,-2.3085,11.12,8.12,8.95
"SH535_L",2009,0,-3.2688,9.83,7.8,8.86
"SH536_L",2009,0,-0.0981,11.28,10.03,11.3
"SH537_L",2009,0,-1.2897,11.42,8.96,9.79
"SH538_L",2009,0,-1.7816,10.84,8.81,9.62
"SH539_L",2009,0,-0.4265,12.08,9.22,10.56
"SH540_L",2009,0,-0.1929,11.38,9.48,11.67
"SH542_L",2009,0,2.1577,12.75,11.22,12.98
"SH543_L",2009,1,4.5807,14.66,12.3,14.61
"SH544_L",2009,0,0.3005,11.93,10,11.4
"SH545_L",2009,0,0.5759,12.12,10.2,11.52
"SH551_L",2009,0,-1.1549,10.93,9.12,10.53
"SH552_L",2009,0,-0.8549,11.43,9.29,10.34
"SH553_L",2009,0,-0.8877,10.94,8.98,11.31
"SH562_L",2009,0,-0.0569,11.53,9.89,11.25
"SH563_L",2009,0,-1.8917,10.67,8.32,10.23
"SH564_L",2009,0,-2.0878,10.83,8.69,9.09
"SH565_L",2009,0,0.3425,11.78,9.81,11.94
"SH566_L",2009,0,0.1182,11.68,9.87,11.48
"SH567_L",2009,0,-0.8523,10.73,9.36,11.17
"SH568_L",2009,0,2.3984,12.44,11.96,12.97
"SH569_L",2009,0,1.5458,12.22,10.71,12.94
"SH570_L",2009,0,-0.7594,12.04,8.93,10.23
"SH571_L",2009,0,-1.473,10.93,8.67,10.39
"SH572_L",2009,0,0.2009,11.88,9.73,11.59
"SH592_L",2009,0,-0.0764,11.96,9.67,10.93
"SH593_L",2009,0,4.1654,13.67,12.22,15.06
"SH598_L",2009,0,-0.3534,11.1,9.61,11.5
"SH599_L",2009,0,-0.0431,11.18,10.15,11.4
"SH600_L",2009,0,0.3876,11.65,10.05,11.9
"SH601_L",2009,0,-0.5269,12.16,9.24,10.2
"SH602_L",2009,1,3.8548,14.02,12.13,14.01
"SH603_L",2009,0,-0.3874,10.98,9.64,11.54
"SH617_L",2009,0,0.7959,12.14,9.86,12.44
"SH618_L",2009,0,-0.8606,11.3,9.05,10.81
"SH620_L",2009,0,-0.4737,11.07,9.23,11.76
"SH623_L",2009,0,2.5866,13.11,10.79,14.05
"SH624_L",2009,0,-1.5489,10.32,8.98,10.61
"SH625_L",2009,0,-0.1451,11.56,9.69,11.27
"SH626_L",2009,1,2.4743,13.49,10.91,13.14
"SH627_L",2009,0,1.5082,11.87,10.65,13.39
"SH628_L",2009,0,-0.9684,10.56,9.35,11.14
"SH629_L",2009,0,-0.6156,10.84,9.12,11.88
"SH631_L",2009,0,0.3997,11.81,10.34,11.34
"SH635_L",2009,0,0.6018,12.2,9.82,11.97
"SH636_L",2009,0,0.4669,11.7,10.2,11.82
"SH637_L",2009,0,-0.1031,11.37,9.54,11.81
"SH639_L",2009,0,0.7766,12.31,10.2,11.73
"SH641_L",2009,1,-0.7274,11.04,9.82,10.45
"SH657_L",2009,0,-1.5659,10.64,8.66,10.57
"SH658_L",2009,0,0.5785,11.82,10.03,12.14
"SH659_L",2009,0,-0.3596,11.42,9.47,11.25
"SH661_L",2009,0,-0.1723,11.07,10.08,11.34
"SH662_L",2009,0,-1.247,10.78,9.04,10.62
"SH663_L",2009,0,0.7075,11.79,10.01,12.5
"SH665_L",2009,0,2.1018,12.25,11.24,13.48
"SH675_L",2009,0,4.7808,13.7,12.9,15.54
"SH676_L",2009,0,-0.8443,10.99,9.19,11.07
"SH680_L",2009,0,0.2737,10.9,10.38,12.19
"SH689_L",2009,0,-2.0353,10.21,8.66,10.06
"SH692_L",2009,0,-0.2321,11.66,9.56,11.11
"SH693_L",2009,1,4.046,13.72,12.39,14.5
"SH694_L",2009,0,-0.7168,11.11,9.27,11.1
"SH713_L",2009,0,0.9963,12.02,10.27,12.52
"SH714_L",2009,0,-0.221,10.68,9.78,12.13
"203",2010,0,4.5827,13.55,12.78,15.44
"JP1049",2010,0,-0.8051,11.34,9.36,10.48
"JP1200",2010,0,-1.685,10.43,9.03,10.09
"JP1386",2010,1,-1.5022,9.74,9.72,10.51
"JP1395/P789",2010,0,-0.9395,11.03,9.19,10.8
"JP1396",2010,0,-0.827,10.8,9.61,10.81
"JP1410",2010,0,-1.0732,11.66,9.16,9.71
"JP1465",2010,0,-1.4984,11.06,8.71,10.11
"JP1726",2010,1,-0.2587,11.54,9.58,11.18
"JP1729",2010,1,-0.0444,11.84,9.9,10.86
"JP2340",2010,0,-1.2361,11.03,9.268431,10.02
"JP2363",2010,0,-0.956,10.33,9.61,11.13
"JP2383",2010,0,-1.2706,10.57,9.24,10.58
"JP2420",2010,0,-1.216,11.45,8.99,9.88
"JP3022",2010,0,-0.5006,11.52,9.46,10.81
"JP3033",2010,0,2.695,13.18,11.27,13.58
"JP3111",2010,0,2.4097,12.54,11.55,13.4
"JP3114",2010,0,-1.2588,9.24,10.41,10.82
"JP3115",2010,0,-0.682,11.22,9.88,10.24
"JP3116",2010,0,-0.1159,11.5,9.74,11.35
"JP3117",2010,0,-0.7309,11.38,9.45,10.48
"JP3118",2010,1,-0.9372,11.72,8.97,10.19
"JP3120",2010,1,-2.4203,9.76,9.05,9.26
"JP3121",2010,0,-1.9519,10.85,8.54,9.57
"JP3124",2010,0,2.8525,13.08,11.93,13.21
"JP3125",2010,0,-0.9088,10.74,9.55,10.78
"JP3126",2010,0,2.0725,12.6,11.06,13.19
"JP3127",2010,0,3.1053,14.14,11.54,12.91
"JP3128",2010,0,2.1975,12.91,11.62,12.34
"JP3129",2010,0,-1.6325,10.19,9.01,10.55
"JP3162",2010,1,-2.1445,10.34,8.76,9.51
"JP3163",2010,0,-1.2108,11.22,8.9,10.31
"JP3164",2010,0,2.3991,13.58,11.24,12.42
"JP3166",2010,0,0.8656,12.66,9.89,11.88
"JP3170",2010,1,-1.2979,10.59,9.31,10.4
"JP3171",2010,1,3.3347,13.32,11.66,14.35
"JP3173",2010,0,1.6771,12.4,10.66,13.07
"JP3174",2010,0,1.6802,12.56,10.85,12.62
"JP3180",2010,0,1.9477,12.49,10.76,13.44
"JP3316",2010,0,-1.3791,11.26,8.91,9.86
"JP3317",2010,0,2.0773,12.53,11.2,13.11
"JP3318",2010,0,3.1816,13.51,11.6,13.83
"JP3329",2010,0,-0.2305,11.2,9.61,11.65
"JP3332",2010,0,-1.7666,10.72,8.88,9.72
"JP3333",2010,0,-0.6497,11.07,9.65,10.81
"JP3334",2010,0,1.7774,12.14,11.15,13
"JP3335",2010,0,-0.9962,11.31,9.27,10.2
"JP3342",2010,0,2.1407,12.79,11.15,12.98
"JP3345",2010,0,-0.7733,10.73,9.69,10.92
"JP3346",2010,0,-1.0969,10.9,9.52,10.18
"JP3358",2010,0,-0.2888,11.38,9.68,11.19
"JP3374",2010,0,1.6939,12.15,11.4,12.47
"JP3376",2010,0,1.2563,12.18,10.45,12.67
"JP3377",2010,0,-1.0962,10.63,9.47,10.6
"JP3378",2010,0,2.4711,12.61,11.94,12.94
"JP3384",2010,0,-0.7995,11.28,9.2,10.78
"JP3397",2010,0,0.2474,11.76,9.97,11.54
"JP3398",2010,0,1.7329,13.05,10.52,12.53
"JP3399",2010,0,1.8897,12.43,11.01,13.06
"JP3400",2010,0,4.0715,13.61,12.66,14.35
"JP3401",2010,0,-0.8778,10.29,9.81,11.1
"JP3402",2010,1,1.8307,12.52,11.1,12.69
"JP3421",2010,0,-0.0531,11.77,9.84,11.01
"JP3423",2010,0,2.6684,12.96,11.72,13.22
"JP3424",2010,0,-0.4452,11.44,9.3,11.25
"JP3425",2010,0,-0.1772,11.46,9.78,11.21
"JP3426",2010,0,1.1362,12.45,10.36,12.16
"JP3433",2010,0,-2.6135,10,8.54,9.17
"JP3435",2010,0,-0.6994,11.45,9.32,10.63
"JP3436",2010,0,-2.5435,9.8,8.84,9.2
"JP3441",2010,0,-0.263,12.13,9.28,10.79
"JP3511",2010,0,-1.1024,11.43,8.91,10.27
"JP3512",2010,0,-1.9302,10.5,8.86,9.66
"JP3517",2010,0,0.4373,12.19,10.14,11.19
"JP3532",2010,0,3.6619,14.28,11.93,13.49
"JP3533",2010,1,-1.3462,10.61,9.42,10.12
"JP3535",2010,0,0.85,12.57,10.16,11.61
"JP3536",2010,0,-2.5139,10.69,8.13,9.03
"JP3537",2010,0,1.5552,12.43,10.93,12.4
"JP3539",2010,1,0.7139,12.35,10.28,11.43
"JP3540",2010,0,3.3367,13.5,12.15,13.48
"JP3558",2010,0,-0.5991,11.16,9.84,10.56
"JP3559",2010,0,-0.5166,11.67,9.55,10.46
"JP3560",2010,0,-0.2591,12.09,9.58,10.46
"MZ212",2010,0,0.7305,12.51,10.21,11.35
"MZ296",2010,0,0.5881,11.83,10.19,11.94
"SH059_L",2010,0,2.8351,13.6,11.24,13.39
"SH061_L",2010,0,-1.4474,11.04,8.85,10.07
"SH099_L",2010,0,-2.4658,9.46,9.11,9.47
"SH100_L",2010,0,-1.1777,11.11,9.03,10.36
"SH101_L",2010,1,1.8265,12.64,11.44,12.08
"SH120_L",2010,0,-3.3574,9.42,8.01,8.92
"SH122_L",2010,0,0.4354,11.68,10.28,11.67
"SH241_L",2010,1,-1.5792,11.09,8.96,9.56
"SH255_L",2010,0,-1.0622,10.42,9.74,10.6
"SH277_L",2010,0,-0.4869,11.26,9.76,10.79
"SH363_L",2010,0,2.5546,13.21,11.27,13.22
"SH368_L",2010,0,0.2376,11.74,9.95,11.57
"SH384_L",2010,0,-0.5281,11.58,9.39,10.76
"SH386_L",2010,1,-0.0795,11.38,10.2,10.99
"SH408_L",2010,0,2.8463,13.6,11.62,12.92
"SH411_L",2010,0,-1.1494,11.04,9.28,10.19
"SH417_L",2010,0,0.2144,11.84,9.51,11.96
"SH418_L",2010,1,-2.1388,10.97,8.56,8.96
"SH438_L",2010,1,-1.4112,10.67,9.2,10.18
"SH443_L",2010,0,-1.1385,10.94,8.74,11.05
"SH450_L",2010,1,0.1591,11.51,10.02,11.6
"SH472_L",2010,0,3.4837,14.1,11.3,14.14
"SH496_L",2010,0,-1.2356,11.05,9.05,10.28
"SH520_L",2010,1,1.1739,12.6,10.36,12.05
"SH543_L",2010,0,4.5807,14.66,12.3,14.61
"SH602_L",2010,0,3.8548,14.02,12.13,14.01
"SH626_L",2010,0,2.4743,13.49,10.91,13.14
"SH641_L",2010,1,-0.7274,11.04,9.82,10.45
"SH693_L",2010,0,4.046,13.72,12.39,14.5
"SH723_L",2010,0,2.4823,12.95,11.22,13.46
"SH724_L",2010,0,-0.4421,11.61,9.71,10.5
"SH726_L",2010,0,-1.652,10.33,9.05,10.27
"SH727_L",2010,0,-0.8965,11.17,9.24,10.65
"SH728_L",2010,0,4.1779,15.01,11.55,14.21
"SH729_L",2010,0,2.3718,12.6,11.27,13.6
"SH730_L",2010,0,-0.8698,10.86,9.59,10.66
"SH731_L",2010,0,-0.5601,11.4,9.2,11.17
"SH732_L",2010,0,-0.7329,11.43,9.22,10.71
"SH733_L",2010,0,2.212,13.56,10.71,12.71
"SH734_L",2010,0,-0.4028,10.99,9.81,11.27
"SH735_L",2010,0,-0.7582,11.15,9.632705,10.48
"SH736_L",2010,0,-1.164,11.18,9.16,10.13
"SH739_L",2010,0,-1.1894,11.02,9,10.49
"SH740_L",2010,0,-0.0214,11.7,9.59,11.5
"SH743_L",2010,0,-1.0266,10.72,9.31,10.85
"SH750_L",2010,0,0.4978,11.77,10.23,11.76
"SH751_L",2010,0,-0.844,11.18,9.46,10.47
"SH752_L",2010,0,-0.5704,11.55,9.53,10.52
"SH758_L",2010,0,-0.8646,11.68,8.8,10.63
"SH759_L",2010,0,-1.6809,10.21,9.02,10.4
"SH760_L",2010,1,-1.3755,11.41,8.72,9.92
"SH761_L",2010,0,2.7472,13.13,11.91,12.93
"SH763_L",2010,0,1.4414,12.13,11.2,12.18
"SH764_L",2010,0,3.4908,13.52,11.94,14.08
"SH765_L",2010,0,2.6593,13.11,11.27,13.59
"SH766_L",2010,0,-2.0669,10.33,8.86,9.57
"SH767_L",2010,0,0.1711,11.66,10.09,11.34
"SH768_L",2010,0,0.1278,11.36,10.2,11.49
"SH769_L",2010,0,0.1728,12.06,10.06,10.86
"SH775_L",2010,0,2.6792,13.2,11.46,13.27
"SH780_L",2010,0,3.2788,13.11,11.88,14.21
"SH781_L",2010,0,0.0616,11.31,10.18,11.43
"SH782_L",2010,0,-0.3136,11.76,9.8,10.48
"SH785_L",2010,0,-2.3286,10.37,8.53,9.35
"SH786_L",2010,0,-0.3172,11.47,9.77,10.89
"SH791_L",2010,0,0.9677,12.88,10.27,11.33
"SH792_L",2010,0,2.5226,13.23,11.24,13.16
"SH828_L",2010,0,1.7088,12.73,10.86,12.45
"SH829_L",2010,0,2.3868,13.12,11.35,12.85
"SH830_L",2010,0,3.4049,13.97,11.76,13.53
"SH834_L",2010,0,-0.8574,11.13,9.41,10.57
"SH841_L",2010,0,-1.0812,11.11,9.36,10.15
"SH842_L",2010,0,3.3457,13.82,11.5,13.93
"SH843_L",2010,0,-0.943,11.54,9.24,10.06
"SH847_L",2010,0,-0.6363,11.26,9.46,10.84
"SH848_L",2010,0,0.7604,12.04,10.45,11.72
"SH850_L",2010,0,-2.2376,10.32,8.87,9.18
"SH851_L",2010,1,-0.2914,11.82,9.61,10.7
"SH852_L",2010,0,-0.3018,11.38,9.78,11.03
"SH853_L",2010,0,-0.9976,11.78,9.31,9.53
"SH865_L",2010,0,0.9247,12.21,10.46,11.86
"SH866_L",2010,0,2.6525,13.03,11.53,13.34
"SH869_L",2010,0,2.0157,13.32,10.76,12.51
"SH870_L",2010,0,-0.9554,11.38,9.21,10.28
"SH871_L",2010,0,1.3263,12.15,10.48,12.83
"SH875_L",2010,0,-1.2358,10.67,9.4,10.32
"SH880_L",2010,0,1.0407,12.05,10.54,12.23
"SH882_L",2010,0,3.4662,13.58,11.76,14.18
"SH920_L",2010,0,3.9803,13.67,12.44,14.35
