"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP4926","fortis small",10.96,9.63,8.7,0
"JP4927","fortis small",11.37,10.96,9.59,0
"JP4928","fortis small",11.6,10.7,8.77,0
"JP493","fuliginosa",8.63,6.73,6.49,0
"JP4930","scandens",14.65,8.56,8.49,0
"JP4931","scandens",15.12,8.84,8.91,0
"JP4933","fortis small",10.22,9.37,8.43,0
"JP4934","fortis small",11.25,10.21,9.58,0
"JP4935","fuliginosa",9.16,7.58,7.28,0
"JP4936","fortis small",11.33,10.5,10.08,0
"JP4937","fortis small",10.39,9.09,8.69,0
"JP4938","scandens",13.46,7.66,7.38,0
"JP494","fuliginosa",9,6.99,6.89,0
"JP4941","fortis small",11.69,9.81,9.22,0
"JP4944","scandens",14.26,8.61,8.59,0
"JP4946","fortis small",10.47,9.55,8.9,0
"JP4948","fortis small",11.85,10.26,9.45,0
"JP4949","scandens",14.89,8.7,8.41,0
"JP495","fuliginosa",8.18,6.78,6.42,0
"JP4950","fortis small",11.51,9.83,8.93,0
"JP4952","scandens",14.09,7.72,7.87,0
"JP4953","fortis small",11.59,11.01,9.83,0
"JP4954","fortis small",11.01,9.95,8.41,0
"JP496","fuliginosa",8.45,7.5,7.23,0
"JP4963","fortis small",11.09,9.49,8.73,0
"JP4965","fortis small",11.1,9.64,9.04,0
"JP4966","fortis small",11.3,10.55,9.57,0
"JP4967","fortis small",11.75,10.12,9.37,0
"JP4968","fortis small",11.45,10.78,9.36,0
"JP4969","scandens",13.89,8.36,8.06,0
"JP497","fortis small",10.03,8.88,8.37,0
"JP4970","fortis small",10.79,9.61,8.88,0
"JP4971","fortis small",12.02,10.47,9.16,0
"JP4973","fortis small",11.23,9.81,8.88,0
"JP4974","fortis small",12.04,11.145,9.47,7
"JP4978","fortis large",12.35,12.35,11,0
"JP498","fuliginosa",8.98,7.37,7.29,1
"JP4980","fortis small",11.4,10.29,9.83,0
"JP4981","fortis large",12.52,12.02,10.32,0
"JP4982","fortis small",11.57,9.75,9.2,0
"JP4983","fortis small",11.15,9.84,9.14,0
"JP4986","scandens",16.03,8.17,7.8,0
