"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP592","fuliginosa",8.96,6.96,6.845214888,0
"JP593","fuliginosa",8.01,6.51,6.488859595,0
"JP595","fuliginosa",8.31,6.61,6.56804966,0
"JP596","fuliginosa",8.78,6.9,6.797700849,0
"JP597","fuliginosa",9.21,7.18,7.019433032,0
"JP598","fuliginosa",8.26,6.82,6.734348797,0
"JP599","fuliginosa",9.1,7.14,6.987757006,0
"JP602","fuliginosa",8.81,7.44,7.093068568,2
"JP603","fuliginosa",8.37,6.83,6.742267804,0
"JP604","fuliginosa",7.54,6.43,6.425507542,0
"JP605","fuliginosa",8.48,7.2,7.035271045,0
"JP614","fuliginosa",9.25,7.16,7.003595019,0
"JP615","fuliginosa",8.25,6.74,6.670996745,0
"JP616","fuliginosa",8.26,6.82,6.734348797,0
"JP617","fuliginosa",9.48,7.36,7.161975149,0
"JP618","fuliginosa",9.43,7.29,7.106542104,0
"JP619","fuliginosa",9.05,7.18,7.019433032,0
"JP620","fuliginosa",8.99,6.98,6.861052901,0
"JP621","fuliginosa",8.77,6.38,6.38591251,0
"JP623","fuliginosa",7.93,6.46,6.449264562,0
"JP624","fuliginosa",8.9,7.06,6.924404954,0
"JP625","fuliginosa",8.05,6.89,6.789781843,0
"JP626","fuliginosa",8.54,6.85,6.758105817,0
"JP627","fuliginosa",8.66,6.75,6.678915751,0
"JP628","fuliginosa",8.53,6.54,6.512616614,0
"JP629","fuliginosa",8.54,6.73,6.663077738,0
"JP630","fuliginosa",7.92,7.03,7.02,0
"JP631","fuliginosa",8.19,7.36,7.245,1
"JP632","fuliginosa",8.53,7.3,7.23,0
"JP633","fuliginosa",8.11,7.35,7.35,0
"JP634","fuliginosa",7.34,7.15,6.54,0
"JP635","fuliginosa",8.18,6.9,6.797700849,0
"JP636","fuliginosa",8.23,7.5,7.63,0
"JP638","fuliginosa",7.58,6.66,6.78,0
"JP640","fuliginosa",7.52,6.94,7.9,0
"JP641","fuliginosa",8.18,6.82,6.785,1
"JP642","fuliginosa",8.07,7.16,7.45,0
"JP643","fuliginosa",9.11,7.89,7.5,0
"JP644","fuliginosa",7.76,6.87,6.48,0
"JP645","fuliginosa",8.02,7.33,7.37,0
"JP667","fuliginosa",7.85,7.21,7.48,0
"JP668","fuliginosa",7.81,7.13,7.42,0
"JP671","fuliginosa",8.08,6.99,7.52,0
"JP672","fuliginosa",7.99,7.31,7.62,0
"JP673","fuliginosa",8.76,7.94,7.42,0
"JP674","fuliginosa",7.43,6.8,6.87,0
"JP675","fuliginosa",8.2,7.41,7.57,0
"JP677","fuliginosa",8.14,7.08,7.05,0
"JP678","fuliginosa",7.86,7.63,7.64,0
"JP679","fuliginosa",9.37,7.72,7.27,0
"JP680","fuliginosa",8.76,6.74,6.71,0
"JP681","fuliginosa",8.56,7.04,6.7,0
"JP682","fuliginosa",9.07,7.33,7.37,0
"JP683","fuliginosa",8.66,7.17,6.94,0
"JP685","fuliginosa",8.02,7.29,6.68,0
"JP686","fuliginosa",8.32,7.23,6.78,0
"JP687","fuliginosa",8.39,7.29,6.93,0
"JP688","fuliginosa",7.89,7.02,6.7,0
"JP689","fuliginosa",8.39,6.99,6.48,0
"JP691","fuliginosa",9.25,7.41,6.81,0
"JP692","fuliginosa",8.175,6.91,6.6675,2
"JP693","fuliginosa",8.63,7.13,6.95,0
"JP713","fuliginosa",7.98,6.89,7.08,0
"JP714","fuliginosa",9.65,7.87,7.76,0
"JP715","fuliginosa",8.48,6.58,6.3,0
"JP716","fuliginosa",8.52,7.39,7.31,0
"JP717","fuliginosa",8.46,7.13,6.99,0
"JP718","fuliginosa",8.54,7.05,7.29,0
"JP719","fuliginosa",8.76,6.7,6.38,0
"JP722","fuliginosa",9.22,7.025,6.98,0
"JP723","fuliginosa",8.08,6.96,6.81,0
"JP725","fuliginosa",8.84,7.42,7.39,0
"JP726","fuliginosa",8.33,7.07,7.24,0
"JP727","fuliginosa",8.43,7.12,6.9,0
"JP728","fuliginosa",8.64,6.98,7.11,0
"JP729","fuliginosa",8.94,6.91,6.89,0
"JP730","fuliginosa",8.97,6.93,6.87,0
"JP731","fuliginosa",8.26666666666667,6.92333333333333,6.69666666666667,2
"JP732","fuliginosa",9.31,7.34,6.8,0
"JP733","fuliginosa",8.82,7.09,6.95,0
"JP734","fuliginosa",8.9,6.91,7.18,0
"JP735","fuliginosa",7.66,6.75,6.71,0
"JP736","fuliginosa",7.8,6.72,6.86,0
"JP737","fuliginosa",8.02,7.22,7,0
"JP738","fuliginosa",8.74,7.43,7.39,0
"JP756","fuliginosa",8.84,7.04,6.84333333333333,1
"JP761","fuliginosa",7.8,6.86,6.91,0
"JP764","fuliginosa",8.14,6.68,6.87,0
"JP765","fuliginosa",8.675,6.725,6.905,1
"JP768","fuliginosa",8.77,7.09,7.03,0
"JP769","fuliginosa",8.425,6.47,6.765,1
"JP770","fuliginosa",8.69,6.87,6.8,0
"JP771","fuliginosa",9.25,6.99,6.69,0
"JP772","fuliginosa",9.68,7.52,7.29,0
"JP774","fuliginosa",9.08,7.15,6.94,0
"JP775","fuliginosa",9.03,7.46,7.19,0
"JP776","fuliginosa",7.885,6.71,6.415,1
"JP777","fuliginosa",8.21,7.24,6.97,0
"JP779","fuliginosa",9.25,6.89,6.69,0
"JP781","fuliginosa",8.25,6.56,6.14,0
"JP789","fuliginosa",9.88,7.11,6.96,0
"JP790","fuliginosa",8.51,6.92,6.77,0
"JP791","fuliginosa",8.47,7.17,6.92,0
"JP792","fuliginosa",8.84,6.74,6.78,0
"JP793","fuliginosa",8.07,6.69,6.53,0
"JP794","fuliginosa",9.15,7.21,7.42,0
"JP796","fuliginosa",7.85,7.28,6.84,0
"JP797","fuliginosa",9.66,7.65,7.45,0
"JP798","fuliginosa",7.99,6.33,6.57,0
"JP799","fuliginosa",8.46,6.82,6.82,0
"JP804","fuliginosa",8.69,6.79,6.94,0
"JP809","fuliginosa",8.42,6.84,7.1,0
"JP813","fuliginosa",8.53,6.82,6.76,0
"JP815","fuliginosa",8.2,6.99,7.1,0
"JP816","fuliginosa",8.16,7.25,6.8,0
"JP817","fuliginosa",8.64,7.23,7.09,0
"JP821","fuliginosa",8.91,6.88,7.06,0
"JP822","fuliginosa",9.53,7.09,7.16,0
"JP823","fuliginosa",8.5,7.15,6.77,0
"JP824","fuliginosa",9.03,6.85,6.58,0
"JP825","fuliginosa",8.23,6.82,6.7,0
"JP826","fuliginosa",8.87,7.05,6.57,0
"JP828","fuliginosa",9.09,7.23,7.3,0
"JP829","fuliginosa",8.33,6.93,7.14,0
"JP830","fuliginosa",8.38,7.11,6.82,0
"JP831","fuliginosa",8.68,6.68,6.5,0
"JP832","fuliginosa",9.305,6.83,6.475,1
"JP834","fuliginosa",8.82,6.91,6.61,0
"JP835","fuliginosa",8.99,7.1,6.73,0
"JP836","fuliginosa",7.72,6.61,6.56,0
"JP837","fuliginosa",8.14,6.71,6.59,0
"JP838","fuliginosa",8.98,7.27,7.38,0
"JP839","fuliginosa",8.28,6.33,6.26,0
"JP844","fuliginosa",8.28,6.59,7.02,0
"JP845","fuliginosa",9.02,6.87,6.66,0
"JP846","fuliginosa",8.3,7,7.09,0
"JP847","fuliginosa",8.64,7,6.99,0
"JP848","fuliginosa",8.02,7.16,6.8,0
"JP849","fuliginosa",8.1,7.145,6.72,1
"JP850","fuliginosa",7.72,6.45,6.72,0
"JP851","fuliginosa",8.26666666666667,7.17333333333333,6.89,4
"JP852","fuliginosa",9.01,6.93,7.06,0
"JP853","fuliginosa",8.205,6.71,6.475,1
"JP854","fuliginosa",8.5,6.833,7,0
"JP855","fuliginosa",8.72,6.61,6.48,0
"JP856","fuliginosa",8.35,7.02,7.11,0
"JP861","fuliginosa",8.61,6.96,6.74,0
"JP862","fuliginosa",7.67,6.26,6.43,0
"JP863","fuliginosa",8.34,6.88,7.08,0
"JP864","fuliginosa",8.41,6.89,6.65,0
"JP865","fuliginosa",8.11,6.93,6.64,0
"JP866","fuliginosa",8.76,7.16,7.03,0
"JP867","fuliginosa",8.46,7.01,6.44,0
"JP868","fuliginosa",8.24,6.53,6.68,0
"JP869","fuliginosa",8.69,6.58,6.33,0
"JP870","fuliginosa",8.64,7.18,6.93,0
"JP871","fuliginosa",8.43,6.85,6.76,0
"JP885","fuliginosa",8.19,6.89,6.21,0
"JP886","fuliginosa",7.86333333333333,7.87666666666667,6.94333333333333,0
"JP887","fuliginosa",9.38,7.34,6.99,5
"JP888","fuliginosa",7.85,6.63,6.86,0
"JP889","fuliginosa",8.2,6.6,6.94,0
"JP890","fuliginosa",8.26,7.15,7.13,0
"JP892","fuliginosa",8.56,6.96,6.67,0
"JP895","fuliginosa",8.29,6.69,6.88,0
"JP896","fuliginosa",8.16,6.82,6.74,0
"JP897","fuliginosa",8.06,6.59,6.79,0
"JP898","fuliginosa",8.89,6.85,6.7,0
"JP899","fuliginosa",8.37,6.92,7.15,0
"JP900","fuliginosa",9,7.08,7.07,0
"JP9000","fuliginosa",8.54333333333333,7.41,6.68,7
"JP9004","fuliginosa",8.55,6.57,6.38,0
"JP9006","fuliginosa",8.99,6.77,6.4,0
"JP9008","fuliginosa",8.69,6.85,6.6,0
"JP9009","fuliginosa",8.8,7.14,6.59,0
"JP901","fuliginosa",8.28,6.56,6.44,0
"JP9010","fuliginosa",8.56,6.5,6.2,0
"JP9011","fuliginosa",8.63,6.96,6.66,0
"JP9012","fuliginosa",8.68,7.09,6.61,0
"JP9014","fuliginosa",8.77,6.89,6.8,0
"JP902","fuliginosa",8.28,7.01,7.02,0
"JP9022","fuliginosa",9.36,6.77,6.79,0
"JP9029","fuliginosa",8.81,6.79,7.38,0
"JP903","fuliginosa",8.93,7.73,7.01,0
"JP9032","fuliginosa",8.41,6.81,6.45,0
"JP9035","fuliginosa",8.72,6.82,7.03,0
"JP904","fuliginosa",8.29,7.02,6.78,0
"JP9043","fuliginosa",8.51,7.31,6.95,0
"JP9046","fuliginosa",8.7,7.12,7.3,0
"JP9047","fortis small",9.35,8.79,8.24,0
"JP9048","fuliginosa",8.72,7.39,7.37,0
"JP9049","fuliginosa",8.23,6.68,6.7,0
"JP905","fuliginosa",8.46,7.2,6.47,0
"JP9053","fuliginosa",8.18666666666667,7.37333333333333,6.95,5
"JP9054","fuliginosa",8.655,6.845,6.525,5
"JP9055","fuliginosa",8.505,7.38,7.075,1
"JP9056","fuliginosa",8.45,7.26,7.11,0
"JP9057","fuliginosa",9.57,7.73,7.27,0
"JP9059","fuliginosa",9.245,7.37,7.565,5
"JP906","fuliginosa",8.48,7.19,6.84,0
"JP9060","fuliginosa",8.14,7.02,6.74,0
"JP9064","fuliginosa",8.88,7.14,7.09,0
"JP9068","fuliginosa",8.15,6.65,6.69,0
"JP907","fuliginosa",8.43,6.915,6.84,4
"JP9071","fuliginosa",8.52,7.05,6.54,0
"JP9077","fuliginosa",8.57,6.73,6.28,0
"JP9079","fuliginosa",8.86,6.83,6.86,0
"JP908","fuliginosa",8.24,6.74,6.46,0
"JP9080","fuliginosa",8.86,7.09,6.96,0
"JP9081","fuliginosa",7.87,6.81,6.79,0
"JP9083","fuliginosa",8.32,6.47,6.16,0
"JP9084","fuliginosa",7.97,7.32,6.93,0
"JP9085","fuliginosa",8.3,6.94,7,0
"JP9087","fuliginosa",8.67666666666667,7.09666666666667,7.01333333333333,0
"JP9088","fuliginosa",8.48,6.99,6.81,0
"JP909","fuliginosa",8.79,6.77,6.75,0
"JP9091","fuliginosa",8.04,6.73,6.68,0
"JP9098","fuliginosa",8.68,7.38,7.2,0
"JP910","fuliginosa",8.86,7.37,7.36,0
"JP9100","fuliginosa",9.01,7.37,7.25,0
"JP9104","fuliginosa",7.97,6.74,6.75,0
"JP9105","fuliginosa",7.39,7.23,7.52,0
"JP9106","fuliginosa",7.77,6.73,6.64,0
"JP9108","fuliginosa",8.72,7.14,7.085,1
"JP9110","fuliginosa",7.76,7.165,7.34,3
"JP9112","fuliginosa",7.71,7.56,7.46,0
"JP9113","fuliginosa",7.955,6.995,6.7,0
"JP9116","fuliginosa",8.365,6.95,6.94,0
"JP9117","fuliginosa",8.55,7.265,6.375,0
"JP9118","fuliginosa",7.945,7.235,6.935,0
"JP912","fuliginosa",8.77,6.71,6.29,0
"JP9120","fuliginosa",8.135,6.955,6.77,0
"JP9126","fuliginosa",7.92,6.45,6.39,0
"JP9127","fuliginosa",8.4,6.94,6.71,0
"JP9129","fuliginosa",8.53,7.55,6.8,0
"JP913","fuliginosa",8.14,6.94,6.77,0
"JP9130","fuliginosa",8.1,6.77,6.31,0
"JP9131","fuliginosa",8.39,6.95,6.85,0
"JP9134","fuliginosa",7.59,6.6,6.605,0
"JP9179","fuliginosa",8.12,6.99,6.67,0
"JP918","fuliginosa",8.65,7,7,0
"JP9180","fuliginosa",9.43,7.22,6.79,0
"JP9182","fuliginosa",9.02,7.3,6.83,0
"JP9183","fuliginosa",7.96,7.03,6.57,0
"JP9189","fuliginosa",7.84,7.15,6.74,0
"JP919","fuliginosa",7.8,6.32,6.07,0
"JP9190","fuliginosa",8.09,6.74,6.58,0
"JP9191","fuliginosa",9.14,7.96,7.215,6
"JP9195","fuliginosa",8,6.61,6.12,0
"JP9196","fuliginosa",7.82,6.22,6.04,0
"JP9197","fuliginosa",8.3,6.84,6.36,0
"JP9198","fuliginosa",8.21,7.02,6.62,0
"JP9199","fuliginosa",8.12,7.05,6.74,0
"JP920","fuliginosa",9.39,7.5,6.79,0
"JP921","fuliginosa",7.52,6.81,6.49,0
"JP922","fuliginosa",8.3,6.99,6.85,0
"JP923","fuliginosa",8.99,7.01,6.91,0
"JP9236","fuliginosa",8.21,6.83,6.9,0
"JP924","fuliginosa",8.11,7.02,6.82,0
"JP925","fuliginosa",7.82,6.65,6.4,0
"JP926","fuliginosa",8.81,6.64,6.15,0
"JP927","fuliginosa",8.43,6.84,6.78,0
"JP928","fuliginosa",8.87,7.26,7.16,0
"JP929","fuliginosa",8.28,6.93,6.94,0
"JP930","fuliginosa",9.21,7.16,7.35,0
"JP931","fuliginosa",8.09,6.44,6.39,0
"JP937","fuliginosa",8.28,6.56,6.34,0
"JP938","fuliginosa",8.41,6.86,6.54,0
"JP939","fuliginosa",8.89,6.85,6.96,0
"JP940","fuliginosa",9.15,7.37,7.14,0
"JP941","fuliginosa",8.63,6.69,6.42,0
"JP942","fuliginosa",8.56,6.58,6.37,0
"JP943","fuliginosa",8.48,7.71,7.08,0
"JP944","fuliginosa",9.14,7.32,7.28,0
"JP9441","fuliginosa",8.42,7.18,7.03,0
"JP9442","fuliginosa",9.21,7.275,7.31,0
"JP9449","fuliginosa",7.82,7,6.46,0
"JP945","fuliginosa",8.32,6.92,6.74,0
"JP9450","fuliginosa",9.68,7.64,7.06,0
"JP946","fuliginosa",8.17,6.56,6.34,0
"JP9460","fuliginosa",8.33,6.87,6.85,0
"JP9461","fuliginosa",7.67,6.6,6.26,0
"JP9462","fuliginosa",8.08,7.04,6.49,0
"JP9463","fuliginosa",9.59,8.49,7.9,0
"JP9464","fuliginosa",8.6,6.86,6.57,0
"JP9465","fuliginosa",9.12,7.16,6.88,0
"JP9467","fuliginosa",8.47,7.18,7.15,0
"JP947","fuliginosa",8.28,6.88,6.46,0
"JP9477","fuliginosa",8.55,7.02,7,0
"JP9478","fuliginosa",8.67,7.33,6.97,0
"JP9479","fuliginosa",9.24,7.32,6.99,0
"JP948","fuliginosa",8.83,6.8,6.33,0
"JP9480","fuliginosa",8.3,7.37,7.16,0
"JP9494","fuliginosa",9.15,7.08,6.55,0
"JP9495","fuliginosa",8.51,7.13,6.82,0
"JP9498","fuliginosa",8.84,6.96,6.65,0
"JP9499","fuliginosa",9.22,7.47,7.45,0
"JP952","fuliginosa",7.64,6.44,6.13,0
"JP954","fuliginosa",8.1,6.77,6.56,0
"JP955","fuliginosa",8.51,6.73,7.13,0
"JP956","fuliginosa",7.91,6.59,6.11,0
"JP957","fuliginosa",9.04,7.12,6.69,0
"JP958","fuliginosa",8.69,7.18,6.87,0
"JP959","fuliginosa",7.92,7.01,6.31,0
"JP960","fuliginosa",8.62,7.25,6.88,0
"JP9601","fuliginosa",9.45,6.68,6.66,0
"JP9602","fuliginosa",9.2,7.82,7.6,0
"JP9603","fuliginosa",8.31,7.18,6.84,0
"JP9604","fuliginosa",9.78,7.25,7.07,0
"JP9605","fuliginosa",8.58,7.54,7.53,0
"JP9606","fuliginosa",8.61,6.71,6.73,0
"JP9607","fuliginosa",8.18,7.15,6.69,0
"JP9608","fuliginosa",7.8,7.18,6.76,0
"JP961","fuliginosa",8.36,6.59,6.43,0
"JP9610","fuliginosa",8.15,6.56,6.49,0
"JP9611","fuliginosa",9.38,7.51,7.31,0
"JP9612","fuliginosa",7.86,7.53,7.29,0
"JP9615","fuliginosa",8.56,7.015,6.9,2
"JP9616","fortis small",11.415,10.055,8.94,2
"JP9617","fuliginosa",8.22,7.74,7.45,0
"JP9619","fuliginosa",8.55,7.18,6.4,0
"JP962","fuliginosa",8.24,6.57,6.48,0
"JP9620","fuliginosa",8.45,7.44,7.48,0
"JP9621","fuliginosa",8.27,6.92,6.78,0
"JP9623","fuliginosa",8.95,7.64,7.03,0
"JP9624","fuliginosa",8.59,6.98,6.7,0
"JP9625","fuliginosa",8.51,7.11,6.7,0
"JP9626","fuliginosa",8.39,6.8,6.72,0
"JP9627","fuliginosa",8.38,6.81,6.63,0
"JP9628","fuliginosa",9.03,7.1,7.16,0
"JP9629","fuliginosa",9.21,7.82,7.09,0
"JP963","fuliginosa",8.89,6.69,6.33,0
"JP9630","fuliginosa",8.31,6.67,6.78,0
"JP9631","fuliginosa",7.91,7.68,6.63,0
"JP9632","fuliginosa",8.31,7.19,7.19,0
"JP9633","fuliginosa",7.99,6.93,6.64,0
"JP964","fuliginosa",8.85,6.98,6.97,0
"JP9648","fuliginosa",8.25,6.34,6.09,0
"JP9649","fuliginosa",9.04,6.86,6.61,0
"JP965","fuliginosa",8.37,6.98,6.56,0
"JP9650","fuliginosa",8.62,7.48,7.15,0
"JP9651","fuliginosa",8.75,6.82,6.57,0
"JP9652","fuliginosa",8.18,6.88,6.69,0
"JP9653","fuliginosa",7.5,6.83,6.44,0
"JP966","fuliginosa",8.69,6.82,6.76,0
"JP9660","fuliginosa",9.01,7.06,6.75,0
"JP9661","fuliginosa",8.71,7.4,7.14,0
"JP9664","fuliginosa",7.91,7.21,6.72,0
"JP9667","fuliginosa",8.74,6.9,6.5,0
"JP9668","fuliginosa",9.19,7.53,7.21,0
"JP9669","fuliginosa",9.09,6.92,6.63,0
"JP967","fuliginosa",9.08,7.24,6.79,0
"JP9670","fuliginosa",8.65,7.19,6.79,0
"JP9671","fuliginosa",8.01,6.69,6.87,0
"JP968","fuliginosa",8.45,6.6,6.72,0
"JP970","fuliginosa",9.1,6.61,6.51,0
"JP971","fuliginosa",8.87,6.71,6.52,0
"JP9715","fuliginosa",8.2,7.15,6.86,0
"JP9716","fuliginosa",9.05,7.64,7.11,0
"JP9717","fuliginosa",9.55,7.43,6.69,0
"JP9718","fuliginosa",8.71,7.32,7.27,0
"JP9719","fuliginosa",8.96,7.74,6.99,0
"JP9721","fuliginosa",8.39,6.97,6.68,0
"JP9722","fuliginosa",9.36,7.33,7.29,0
"JP9723","fuliginosa",8.585,6.93,6.33,0
"JP9725","fuliginosa",8.74,7.27,7.36,0
"JP9726","fuliginosa",7.88,7.2,7.03,0
"JP9727","fuliginosa",8.24,7.43,6.81,0
"JP9728","fuliginosa",8.83,7.6,7.2,0
"JP973","fuliginosa",8.37,7.22,7.06,0
"JP9730","fuliginosa",8.69,7.135,7.235,3
"JP9732","fuliginosa",8.56,6.98,6.54,0
"JP974","fuliginosa",8.76,7.02,6.9,0
"JP975","fuliginosa",8.55,7.26,6.61,0
"JP976","fuliginosa",8.49,6.73,6.46,0
"JP977","fuliginosa",8.45,7.09,6.52,0
"JP980","fuliginosa",8.36,7.1,6.86,0
"JP981","fuliginosa",8.55,6.72,6.77,0
"JP983","fuliginosa",8.37,6.71,6.57,0
"JP987","fuliginosa",8.46,7.28,6.93,0
"JP988","fuliginosa",8.88,6.94,6.73,0
"JP989","fuliginosa",7.95,6.82,6.36,0
"JP990","fuliginosa",7.81,6.35,6.17,0
"JP991","fuliginosa",8.55,6.39,6.34,0
"JP992","fuliginosa",8.8,7.09,6.87,0
"JP993","fuliginosa",7.96,6.3,6.53,0
"JP994","fuliginosa",8.75,6.69,6.37,0
"JP995","fuliginosa",8.385,7.335,6.77,6
"JP996","fuliginosa",8.57,7.03,6.81,0
"JP998","fuliginosa",8.8,6.78,6.74,0
"KGSK001","fuliginosa",8.55,7.4,7.1,0
"KGSK002","fuliginosa",8.25,7.3,6.2,0
"KGSK003","fuliginosa",7.95,6.9,6.3,0
"KGSK004","fuliginosa",8.2,7.3,6.9,0
"KGSK005","fuliginosa",9.1,7.4,7,0
"KGSK006","fuliginosa",9.3,6.9,6.6,0
"KGSK007","fuliginosa",9.1,6.5,6.8,0
"KGSK008","fuliginosa",8.5,7.7,7.7,0
"KGSK009","fuliginosa",8.2,6.9,6.6,0
"KGSK010","fuliginosa",8,7.5,6.8,0
"KGSK011","fuliginosa",8.6,6.6,6.3,0
"KGSK012","fuliginosa",9.3,7.7,6.9,0
"KGSK013","fuliginosa",7.8,6.8,6.5,0
"KGSK014","fuliginosa",8.45,7.2,6.7,0
"KGSK015","fuliginosa",8.35,6.25,6.5,0
"KGSK016","fuliginosa",8.15,7.2,6.9,0
"KGSK017","fuliginosa",9.1,7.2,6.85,0
"KGSK018","fuliginosa",8.6,6.75,6.1,0
"KGSK019","fuliginosa",7.9,6.7,6.4,0
"KGSK020","fuliginosa",8.265,6.99,6.455,3
"KGSK021","fuliginosa",8.6,6.4,6.5,0
"KGSK022","fuliginosa",8.7,7.7,7.15,0
"KGSK023","fuliginosa",8.05,7.4,6.6,0
"KGSK024","fuliginosa",8.5,6.65,6.4,0
"KGSK025","fuliginosa",8.4,7.2,6.7,0
"KGSK026","fuliginosa",9.5,7.4,6.9,0
"KGSK027","fuliginosa",8.05,7.15,6.75,0
"KGSK028","fuliginosa",8.25,6.7,6.4,0
"KGSK029","fuliginosa",9.2,7.65,7.2,0
"KGSK030","fuliginosa",8.2,6.4,6.3,0
"KGSK031","fuliginosa",7.85,6.9,6.5,0
"KGSK032","fuliginosa",7.2,7.7,6.6,0
"KGSK033","fuliginosa",8.1,7,6.5,0
"KGSK034","fuliginosa",9.5,7.6,6.8,0
"KGSK035","fuliginosa",8.8,7.3,7.4,0
"KGSK036","fuliginosa",8.6,6.6,6.6,0
"KGSK037","fuliginosa",8.8,6.6,5.9,0
"KGSK038","fuliginosa",8.2,6.9,6.7,0
"KGSK039","fuliginosa",8.9,7.2,7.1,0
"KGSK040","fuliginosa",8.5,7.1,7,0
"KGSK041","fuliginosa",8.4,7.2,6.6,0
"KGSK042","fuliginosa",8.05,7.1,6.6,0
"KGSK043","fuliginosa",7.7,7,6.3,0
"KGSK044","fuliginosa",8.7,7.4,6.75,0
"KGSK045","fuliginosa",8.1,7,6.9,0
"KGSK046","fuliginosa",8,6.6,6,0
"KGSK047","fuliginosa",9,6.95,6.3,0
"KGSK048","fuliginosa",9.05,7.5,6.55,0
"KGSK049","fuliginosa",8.1,7,7.1,0
"KGSK050","fuliginosa",7.5,6.65,6.65,0
"KGSK051","fuliginosa",7.5,6.4,6,0
"KGSK052","fuliginosa",7.9,7.4,6.5,0
"KGSK053","fuliginosa",8.48,7.38,7.23,0
"KGSK054","fuliginosa",8.48,7.2,7.48,0
"KGSK055","fuliginosa",8.22,8.38,6.99,0
"KGSK057","fuliginosa",8.33,7.11,7.09,0
"KGSK059","fuliginosa",8.79,6.28,7.22,0
"KGSK060","fuliginosa",8.28,6.55,6.76,0
"KGSK062","fuliginosa",7.93,6.46,6.59,0
"KGSK068","fuliginosa",7.94,7,6.66,0
"KGSK076","fuliginosa",8.55,6.75,6.24,0
"KGSK077","fuliginosa",9.02,7.7,7.08,0
"KGSK078","fuliginosa",8.85,7.49,7.12,0
"KGSK079","fuliginosa",8.8,6.94,6.53,0
"KGSK080","fuliginosa",8.86,7.48,6.32,0
"KGSK088","fuliginosa",8.39,7.43,6.84,0
"KGSK091","fuliginosa",8.53,6.88,6.55,0
"KGSK093","fuliginosa",9.28,7.62,7.02,0
"KGSK094","fuliginosa",8.4,7.49,6.96,0
"KGSK095","fuliginosa",8.63,7.17,6.98,0
"KGSK096","fuliginosa",7.29,6.77,6.91,0
"KGSK2001","fortis small",11.22,11.22,9.525,3
"KGSK2002","fortis small",11,10,9.3,0
"KGSK2003","fortis small",11.35,10,8.9,0
"KGSK2004","fortis small",11.5,10.5,9.35,0
"KGSK2005","fortis small",12.25,10,9.1,0
"KGSK2006","fortis small",10.6,8.9,8.1,0
"KGSK2007","fortis large",14.35,13.3,11.05,0
"KGSK2008","fortis small",10.5,9,8.9,0
"KGSK2009","fortis small",11,10,8.4,0
"KGSK2010","fortis small",11.4,10.2,9.6,0
"KGSK2011","fortis small",10.1,9.5,9.1,0
"KGSK2012","fortis small",10.8,10.3,9,0
"KGSK2013","fortis large",12.6,11.9,10.7,0
"KGSK2014","fortis small",11.6,10.1,9,0
"KGSK2015","fortis small",12.2,11.7,9.8,0
"KGSK2016","fortis large",14.5,12.2,10.2,0
"KGSK2017","fortis small",12.45,10.15,9.3,0
"KGSK2018","fortis large",13.7,13.7,12.4,0
"KGSK2019","fortis large",12.9,13.4,11.9,0
"KGSK2020","fortis small",9.95,10.7,9.7,0
"KGSK2021","fortis small",11.5,10.4,9.8,0
"KGSK2022","fortis small",12.6,11.3,10.1,0
"KGSK2023","fortis small",11.1,9.9,9.1,0
"KGSK2024","fortis small",12.1,10.9,10.4,0
"KGSK2025","fortis small",12.1,10.8,9.2,0
"KGSK2026","fortis large",13,13.5,11.6,0
"KGSK2027","fortis small",12.1,10.6,9.6,0
"KGSK2028","fortis small",11.15,10.35,9.25,0
"KGSK2029","fortis small",12.1,10,9.5,0
"KGSK2030","fortis small",11.1,10.4,9.6,0
"KGSK2031","fortis small",11.1,9.6,8.8,0
"KGSK2032","fortis small",11.2,9.8,9.1,0
"KGSK2033","fortis small",10.19,9.89,8.8,3
"KGSK2034","fortis large",14.05,13.6,12.1,0
"KGSK2035","fortis large",12.6,12.1,10.6,0
"KGSK2036","fortis large",12.2,13.85,11.1,0
"KGSK2038","fortis small",12,10.4,9.3,0
"KGSK2039","fortis small",11.845,10.48,9.225,3
"KGSK2040","fortis small",11,10.2,8.8,0
"KGSK2041","fortis small",11.9,9.5,8.9,0
"KGSK2042","fortis small",12.1,11,10.1,0
"KGSK2043","fortis small",12,10.4,9,0
"KGSK2044","fortis small",11.8,10.7,9.3,0
"KGSK2045","fortis large",13.67,13.24,8.3,0
"KGSK2046","fortis small",11.95,10,9.2,0
"KGSK2047","fortis small",11.64,11.08,11.23,0
"KGSK2048","fortis small",11.1,10,9.15,0
"KGSK2049","fortis small",10.75,10.12,10.09,0
"KGSK2050","fortis small",11.1,9.9,8.8,0
"KGSK2051","fortis small",11.95,10.6,8.9,0
"KGSK2052","fortis small",10.99,9.68,8.97,0
"KGSK2053","fortis small",10.15,9.45,8.3,0
"KGSK2054","fortis large",13,13.19,12.59,0
"KGSK2055","fortis small",11.7,10.7,9.3,0
"KGSK2056","fortis small",11.5,12.05,10.23,0
"KGSK2057","fortis small",10.83,9.61,10.22,0
"KGSK2058","fortis large",11.93,11.9,10.45,0
"KGSK2059","fortis small",9.92,9.43,8.53,0
"KGSK2060","fortis small",10.56,11.14,9.35,0
"KGSK2061","fortis small",12.038,11.108,10.14,4
"KGSK2064","fortis small",11.61,10.43,9.24,0
